ID_REF	TST2000000719	TST1000000722	TST3000000723
1007_s_at	6.624529839	5.374219894	6.653120041
1053_at	5.604579926	5.758359909	5.586200237
117_at	7.223380089	7.380790234	7.050389767
121_at	7.687019825	7.805039883	7.899509907
1255_g_at	3.231189966	3.185849905	3.139569998
1294_at	9.017889977	8.731249809	8.745019913
1316_at	5.122849941	5.081820011	5.167840004
1320_at	3.746119976	3.709280014	3.609200001
1405_i_at	10.38199997	9.845560074	10.6157999
1431_at	3.367110014	3.356290102	3.298320055
1438_at	5.666130066	5.532509804	5.485139847
1487_at	6.967810154	6.945950031	6.879459858
1494_f_at	5.071450233	5.064750195	4.857580185
1598_g_at	8.027150154	8.002799988	7.824210167
160020_at	6.943729877	7.036449909	6.81716013
