# PLATFORM_ID: custom_platform_1
# PLATFORM_TITLE: Custom Platform
# PLATFORM_SPECIES: Home Sapiens
ID	ENTREZ_GENE_ID	Gene Symbol
1	100287596	DDX11L5
2	653635	WASH7P
3	100422919	MIR1302-11
4	654835	FAM138C
5	79501	OR4F5
6	402483	LINC01000
7	101060495
8	729759	OR4F29
9	729759	OR4F29
10	100288069	LOC100288069
11	100287934	LOC100287934
12	400728	FAM87B
13	79854	LINC00115
14	643837	LINC01128
15	284593	FAM41C
16	284600	LOC284600
17	148398	SAMD11
18	26155	NOC2L
19	339451	KLHL17
20	84069	PLEKHN1
21	84808	PERM1
22	57801	HES4
23	9636	ISG15
24	375790	AGRN
25	401934	RNF223
26	54991	C1orf159
