ID_REF	GSM1000000719	GSM1000000722	GSM1000000723	GSM1000000726	GSM1000000727	GSM1000000728	GSM1000000729	GSM1000000730	GSM1000000731	GSM1000000735	GSM1000000736	GSM1000000737	GSM1000000742	GSM1000000744	GSM1000000758	GSM1000000761	GSM1000000763	GSM1000000764	GSM1000000768	GSM1000000770	GSM1000000772	GSM1000000775	GSM1000000777	GSM1000000780	GSM1000000784	GSM1000000786	GSM1000000790	GSM1000000794	GSM1000000807
1007_s_at	6.624529839	6.374219894	6.653120041	6.148099899	6.494029999	6.550089836	6.586390018	6.538320065	6.421599865	6.542809963	6.372270107	6.494530201	6.455830097	6.393519878	6.436319828	6.355810165	6.409049988	6.349030018	6.212250233	6.424759865	6.301300049	6.576630116	6.350999832	6.270540237	6.353640079	6.293970108	6.289330006	6.31648016	6.513309956
1053_at	5.604579926	5.758359909	5.586200237	5.63312006	5.520909786	5.704929829	5.780039787	5.632790089	5.513100147	5.7355299	5.635859966	5.620769978	5.684110165	5.620369911	5.684110165	5.714829922	5.546790123	5.815400124	5.731229782	5.571509838	5.577499866	5.603980064	5.794509888	5.726419926	5.919300079	5.600279808	5.693009853	5.718619823	5.656119823
117_at	7.223380089	7.380790234	7.050389767	7.541359901	6.962090015	7.227149963	7.276850224	7.26211977	7.535950184	7.440609932	7.335939884	8.005220413	7.393330097	7.489530087	7.248509884	7.373400211	7.577390194	6.911600113	7.539309978	7.441100121	7.460259914	6.947380066	7.346920013	7.203400135	7.637819767	7.322090149	7.096429825	8.031229973	7.810150146
121_at	7.687019825	7.805039883	7.899509907	7.613900185	7.837500095	7.932990074	7.887199879	7.70235014	7.724349976	8.006239891	7.663229942	7.69674015	7.82641983	7.616240025	7.875150204	7.690849781	7.909379959	7.737400055	7.85863018	7.824920177	7.69588995	7.801780224	7.722080231	7.725659847	7.654930115	7.539420128	7.797609806	7.793059826	7.887219906
1255_g_at	3.231189966	3.185849905	3.139569998	3.153189898	3.082119942	3.27444005	3.192420006	3.161099911	3.187220097	3.234689951	3.280250072	3.184439898	3.207010031	3.189640045	3.13812995	3.266459942	3.241719961	3.094510078	3.109910011	3.181090117	3.146879911	3.184809923	3.113770008	3.117049932	3.045639992	3.106400013	3.132009983	3.14041996	3.200900078
1294_at	9.017889977	8.731249809	8.745019913	8.88463974	8.643400192	8.701729774	8.492600441	8.596220016	8.549420357	8.680809975	8.46751976	8.698390007	8.470870018	8.890170097	8.619979858	8.339710236	8.765580177	8.654789925	8.318200111	8.641059875	8.58232975	9.192410469	8.741270065	8.320579529	8.969750404	8.655280113	8.628680229	8.560520172	8.836370468
1316_at	5.122849941	5.081820011	5.167840004	5.244120121	5.320650101	5.171589851	5.199800014	5.150889874	5.008699894	5.103449821	5.157430172	5.21585989	5.212769985	5.103970051	5.081110001	5.080639839	5.179460049	5.096320152	5.119989872	5.057139874	5.051380157	5.261310101	5.118500233	4.931789875	4.837719917	5.139389992	5.08494997	5.07035017	5.11575985
1320_at	3.746119976	3.709280014	3.609200001	3.807320118	3.616750002	3.559870005	3.837640047	3.697289944	3.516580105	3.72006011	3.580679893	3.782480001	3.775350094	3.651550055	3.576179981	3.647399902	3.710239887	3.514919996	3.573220015	3.66283989	3.718899965	3.660599947	3.608350039	3.606349945	3.616149902	3.599280119	3.68888998	3.639849901	3.672970057
1405_i_at	10.38199997	9.845560074	10.6157999	11.01860046	10.86380005	10.77880001	9.816109657	11.20400047	10.99709988	10.4701004	11.10900021	11.44110012	10.77519989	10.66580009	10.76420021	10.52890015	10.74670029	10.84980011	11.06019974	10.30230045	10.65009975	10.05920029	11.05599976	10.69349957	10.66119957	10.97200012	10.71940041	11.28489971	10.5376997
1431_at	3.367110014	3.356290102	3.298320055	3.310930014	3.3020401	3.35078001	3.388180017	3.460989952	3.183690071	3.379509926	3.333679914	3.409879923	3.33833003	3.345089912	3.314069986	3.300879955	3.359250069	3.214979887	3.291470051	3.436219931	3.280149937	3.402100086	3.203099966	3.251559973	3.335700035	3.279069901	3.277159929	3.305310011	3.463850021
1438_at	5.666130066	5.532509804	5.485139847	5.585159779	5.424990177	5.517069817	5.528649807	5.558919907	5.445290089	5.642950058	5.57694006	5.700379848	5.581639767	5.453070164	5.536739826	5.48071003	5.694059849	5.529570103	5.37830019	5.615459919	5.53742981	5.41283989	5.419360161	5.553679943	5.479489803	5.401480198	5.330500126	5.585710049	5.485239983
