SAMPLE_ID	PROBESET_ID	CHROM	CHROM_POS	COPY_NUMBER
GSM887899	CN_473963	1	61723	0.698416
GSM887899	CN_473964	1	61796	0.384214
GSM887899	CN_473965	1	61811	0.480867
GSM887899	CN_473981	1	62908	0.583604
GSM887899	CN_473982	1	62925	0.455088
GSM887899	CN_497981	1	72764	0.290491
GSM887899	CN_502615	1	85924	0.427938
GSM887899	CN_502613	1	85986	0.351754
GSM887899	CN_502614	1	86312	0.284392
GSM887899	CN_502616	1	86329	0.331378
GSM887899	CN_502843	1	98590	0.219722
GSM887899	CN_466171	1	228694	0.35917
GSM887899	CN_468414	1	229063	0.414198
GSM887899	CN_468412	1	229146	1.341535
GSM887899	CN_468413	1	229161	0.231811
GSM887899	CN_470565	1	229607	0.907941
GSM887899	CN_468424	1	235658	-0.048179
GSM887899	CN_468425	1	235716	-0.458292
GSM887899	CN_460512	1	356431	-0.739666
GSM887899	CN_460513	1	356530	0.039644
