SAMPLE_ID	PROBESET_ID	CHROM	CHROM_POS	COPY_NUMBER
TST001	CN_473963	1	61723	-0.145705
TST001	CN_473964	1	61796	-0.074138
TST001	CN_473965	1	61811	0.424227
TST001	CN_473981	1	62908	0.453599
TST001	SNP_A-4265338	1	216721255	0.628913
TST001	SNP_A-1984209	1	216722090	-0.187262
TST001	SNP_A-1984210	1	216722328	0.007373
TST001	SNP_A-8509054	1	216722387	0.899494
TST001	SNP_A-1984211	1	216722622	0.197113
TST001	CN_470485	1	216722823	0.196347
TST001	SNP_A-1984212	1	216722850	0.22915
TST001	SNP_A-4265340	1	216725118	-0.005397
TST001	SNP_A-4265341	1	216725132	-0.150581
TST001	SNP_A-8388051	1	216728761	0.026248
TST001	SNP_A-8697933	1	216729883	-0.003825
TST001	SNP_A-8352140	1	216729936	0.248087
TST001	CN_470486	1	216731717	-0.285698
TST001	CN_470487	1	216733785	-0.179961
TST001	SNP_A-2212412	1	216734001	0.468665
TST001	SNP_A-2176913	1	216737861	0.098677
