ID	GB_ACC	SPOT_ID	Species Scientific Name	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	ENTREZ_GENE_ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
1007_s_at	U48705		Homo sapiens	Jun 9, 2011	Exemplar sequence	Affymetrix Proprietary Database	U48705 /FEATURE=mRNA /DEFINITION=HSU48705 Human receptor tyrosine kinase DDR gene, complete cds	U48705	discoidin domain receptor tyrosine kinase 1	DDR1	780	NM_001954 /// NM_013993 /// NM_013994	0001558 // regulation of cell growth // inferred from electronic annotation /// 0001952 // regulation of cell-matrix adhesion // inferred from electronic annotation /// 0006468 // protein phosphorylation // inferred from electronic annotation /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007155 // cell adhesion // traceable author statement /// 0007169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation /// 0007566 // embryo implantation // inferred from electronic annotation /// 0008285 // negative regulation of cell proliferation // inferred from electronic annotation /// 0018108 // peptidyl-tyrosine phosphorylation // inferred from electronic annotation /// 0031100 // organ regeneration // inferred from electronic annotation /// 0043583 // ear development // inferred from electronic annotation /// 0043588 // skin development // inferred from electronic annotation /// 0051789 // response to protein stimulus // inferred from electronic annotation /// 0060444 // branching involved in mammary gland duct morphogenesis // inferred from electronic annotation /// 0060749 // mammary gland alveolus development // inferred from electronic annotation	0005576 // extracellular region // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0005887 // integral to plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0016323 // basolateral plasma membrane // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004713 // protein tyrosine kinase activity // inferred from electronic annotation /// 0004714 // transmembrane receptor protein tyrosine kinase activity // inferred from electronic annotation /// 0004714 // transmembrane receptor protein tyrosine kinase activity // traceable author statement /// 0004872 // receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
1053_at	M87338		Homo sapiens	Jun 9, 2011	Exemplar sequence	GenBank	M87338 /FEATURE= /DEFINITION=HUMA1SBU Human replication factor C, 40-kDa subunit (A1) mRNA, complete cds	M87338	replication factor C (activator 1) 2, 40kDa	RFC2	5982	NM_002914 /// NM_181471	0006260 // DNA replication // not recorded /// 0006260 // DNA replication // inferred from electronic annotation /// 0006297 // nucleotide-excision repair, DNA gap filling // not recorded /// 0015979 // photosynthesis // inferred from electronic annotation /// 0015995 // chlorophyll biosynthetic process // inferred from electronic annotation	0005634 // nucleus // inferred from electronic annotation /// 0005654 // nucleoplasm // not recorded /// 0005663 // DNA replication factor C complex // inferred from direct assay /// 0005663 // DNA replication factor C complex // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003689 // DNA clamp loader activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0005524 // ATP binding // traceable author statement /// 0016851 // magnesium chelatase activity // inferred from electronic annotation /// 0017111 // nucleoside-triphosphatase activity // inferred from electronic annotation
117_at	X51757		Homo sapiens	Jun 9, 2011	Exemplar sequence	Affymetrix Proprietary Database	X51757 /FEATURE=cds /DEFINITION=HSP70B Human heat-shock protein HSP70B' gene	X51757	heat shock 70kDa protein 6 (HSP70B')	HSPA6	3310	NM_002155	0006950 // response to stress // inferred from electronic annotation /// 0006986 // response to unfolded protein // traceable author statement		0000166 // nucleotide binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation
121_at	X69699		Homo sapiens	Jun 9, 2011	Exemplar sequence	GenBank	X69699 /FEATURE= /DEFINITION=HSPAX8A H.sapiens Pax8 mRNA	X69699	paired box 8	PAX8	7849	NM_003466 /// NM_013952 /// NM_013953 /// NM_013992	0001656 // metanephros development // inferred from electronic annotation /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0009653 // anatomical structure morphogenesis // traceable author statement /// 0030154 // cell differentiation // inferred from electronic annotation /// 0030878 // thyroid gland development // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045893 // positive regulation of transcription, DNA-dependent // inferred from direct assay /// 0045893 // positive regulation of transcription, DNA-dependent // inferred from sequence or structural similarity /// 0045893 // positive regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation	0005634 // nucleus // inferred from electronic annotation /// 0005654 // nucleoplasm // inferred from sequence or structural similarity /// 0005654 // nucleoplasm // inferred from electronic annotation	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // traceable author statement /// 0004996 // thyroid-stimulating hormone receptor activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0016563 // transcription activator activity // inferred from direct assay /// 0016563 // transcription activator activity // inferred from sequence or structural similarity /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation
1255_g_at	L36861		Homo sapiens	Jun 9, 2011	Exemplar sequence	Affymetrix Proprietary Database	L36861 /FEATURE=expanded_cds /DEFINITION=HUMGCAPB Homo sapiens guanylate cyclase activating protein (GCAP) gene exons 1-4, complete cds	L36861	guanylate cyclase activator 1A (retina)	GUCA1A	2978	NM_000409	0007165 // signal transduction // non-traceable author statement /// 0007601 // visual perception // inferred from electronic annotation /// 0007601 // visual perception // traceable author statement /// 0007602 // phototransduction // inferred from electronic annotation /// 0031282 // regulation of guanylate cyclase activity // inferred from electronic annotation /// 0050896 // response to stimulus // inferred from electronic annotation	0016020 // membrane // inferred from electronic annotation	0005509 // calcium ion binding // inferred from electronic annotation /// 0008048 // calcium sensitive guanylate cyclase activator activity // traceable author statement /// 0008048 // calcium sensitive guanylate cyclase activator activity // inferred from electronic annotation /// 0030249 // guanylate cyclase regulator activity // inferred from electronic annotation
1294_at	L13852		Homo sapiens	Jun 9, 2011	Exemplar sequence	GenBank	L13852 /FEATURE= /DEFINITION=HUME1URP Homo sapiens ubiquitin-activating enzyme E1 related protein mRNA, complete cds	L13852	ubiquitin-like modifier activating enzyme 7	UBA7	7318	NM_003335	0006464 // protein modification process // inferred from direct assay /// 0006464 // protein modification process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0019941 // modification-dependent protein catabolic process // inferred from electronic annotation /// 0032020 // ISG15-protein conjugation // inferred from direct assay /// 0032020 // ISG15-protein conjugation // inferred from electronic annotation		0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008641 // small protein activating enzyme activity // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0019782 // ISG15 activating enzyme activity // inferred from direct assay /// 0019782 // ISG15 activating enzyme activity // inferred from electronic annotation
1316_at	X55005		Homo sapiens	Jun 9, 2011	Exemplar sequence	Affymetrix Proprietary Database	X55005 /FEATURE=mRNA /DEFINITION=HSCERBAR Homo sapiens mRNA for thyroid hormone receptor alpha 1 THRA1, (c-erbA-1 gene)	X55005	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	THRA	7067	NM_001190918 /// NM_001190919 /// NM_003250 /// NM_199334	0001502 // cartilage condensation // inferred from electronic annotation /// 0001503 // ossification // inferred from electronic annotation /// 0001822 // kidney development // inferred from electronic annotation /// 0001889 // liver development // inferred from electronic annotation /// 0002155 // regulation of thyroid hormone mediated signaling pathway // inferred from electronic annotation /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006366 // transcription from RNA polymerase II promoter // inferred from direct assay /// 0006950 // response to stress // inferred from electronic annotation /// 0007420 // brain development // inferred from electronic annotation /// 0007611 // learning or memory // inferred from electronic annotation /// 0007623 // circadian rhythm // inferred from electronic annotation /// 0008016 // regulation of heart contraction // inferred from electronic annotation /// 0008050 // female courtship behavior // inferred from electronic annotation /// 0009409 // response to cold // inferred from electronic annotation /// 0009755 // hormone-mediated signaling pathway // inferred from direct assay /// 0009887 // organ morphogenesis // inferred from electronic annotation /// 0010551 // regulation of gene-specific transcription from RNA polymerase II promoter // inferred from direct assay /// 0010553 // negative regulation of gene-specific transcription from RNA polymerase II promoter // inferred from mutant phenotype /// 0010831 // positive regulation of myotube differentiation // inferred from electronic annotation /// 0010871 // negative regulation of receptor biosynthetic process // inferred from mutant phenotype /// 0016481 // negative regulation of transcription // inferred from electronic annotation /// 0017055 // negative regulation of RNA polymerase II transcriptional preinitiation complex assembly // inferred from direct assay /// 0030218 // erythrocyte differentiation // inferred from electronic annotation /// 0030324 // lung development // inferred from electronic annotation /// 0030325 // adrenal gland development // inferred from electronic annotation /// 0030878 // thyroid gland development // inferred from electronic annotation /// 0031667 // response to nutrient levels // inferred from electronic annotation /// 0033032 // regulation of myeloid cell apoptosis // inferred from electronic annotation /// 0034144 // negative regulation of toll-like receptor 4 signaling pathway // inferred from mutant phenotype /// 0042493 // response to drug // inferred from electronic annotation /// 0042994 // cytoplasmic sequestering of transcription factor // inferred from electronic annotation /// 0043433 // negative regulation of transcription factor activity // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045925 // positive regulation of female receptivity // inferred from electronic annotation /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation /// 0048565 // digestive tract development // inferred from electronic annotation /// 0048568 // embryonic organ development // inferred from electronic annotation /// 0050994 // regulation of lipid catabolic process // inferred from electronic annotation /// 0071222 // cellular response to lipopolysaccharide // inferred from mutant phenotype	0000790 // nuclear chromatin // inferred from direct assay /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // traceable author statement /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005829 // cytosol // inferred from direct assay /// 0005829 // cytosol // inferred from electronic annotation	0002153 // steroid receptor RNA activator RNA binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from electronic annotation /// 0003707 // steroid hormone receptor activity // inferred from electronic annotation /// 0003707 // steroid hormone receptor activity // traceable author statement /// 0003714 // transcription corepressor activity // traceable author statement /// 0003727 // single-stranded RNA binding // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004879 // ligand-dependent nuclear receptor activity // inferred from electronic annotation /// 0004879 // ligand-dependent nuclear receptor activity // traceable author statement /// 0004887 // thyroid hormone receptor activity // inferred from direct assay /// 0004887 // thyroid hormone receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0008134 // transcription factor binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0010843 // promoter binding // inferred from direct assay /// 0016563 // transcription activator activity // inferred from electronic annotation /// 0016564 // transcription repressor activity // inferred from direct assay /// 0016564 // transcription repressor activity // inferred from electronic annotation /// 0016988 // transcription initiation factor antagonist activity // inferred from direct assay /// 0017025 // TATA-binding protein binding // inferred from direct assay /// 0019904 // protein domain specific binding // inferred from physical interaction /// 0030528 // transcription regulator activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from electronic annotation /// 0070324 // thyroid hormone binding // inferred from direct assay /// 0070324 // thyroid hormone binding // inferred from physical interaction
1320_at	X79510		Homo sapiens	Jun 9, 2011	Exemplar sequence	Affymetrix Proprietary Database	X79510 /FEATURE=cds /DEFINITION=HSPTPD1 H.sapiens mRNA for protein-tyrosine-phosphatase D1	X79510	protein tyrosine phosphatase, non-receptor type 21	PTPN21	11099	NM_007039	0006470 // protein dephosphorylation // inferred from electronic annotation /// 0006470 // protein dephosphorylation // traceable author statement /// 0016311 // dephosphorylation // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005856 // cytoskeleton // traceable author statement	0004721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 0004725 // protein tyrosine phosphatase activity // inferred from electronic annotation /// 0004725 // protein tyrosine phosphatase activity // traceable author statement /// 0004872 // receptor activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016791 // phosphatase activity // inferred from electronic annotation
1405_i_at	M21121		Homo sapiens	Jun 9, 2011	Exemplar sequence	GenBank	M21121 /FEATURE= /DEFINITION=HUMTCSM Human T cell-specific protein (RANTES) mRNA, complete cds	M21121	chemokine (C-C motif) ligand 5	CCL5	6352	NM_002985	0002544 // chronic inflammatory response // inferred from electronic annotation /// 0006874 // cellular calcium ion homeostasis // traceable author statement /// 0006887 // exocytosis // traceable author statement /// 0006928 // cellular component movement // traceable author statement /// 0006935 // chemotaxis // non-traceable author statement /// 0006935 // chemotaxis // inferred from electronic annotation /// 0006935 // chemotaxis // traceable author statement /// 0006954 // inflammatory response // traceable author statement /// 0006954 // inflammatory response // inferred from electronic annotation /// 0006955 // immune response // inferred from electronic annotation /// 0006955 // immune response // traceable author statement /// 0006968 // cellular defense response // traceable author statement /// 0006979 // response to oxidative stress // traceable author statement /// 0007155 // cell adhesion // traceable author statement /// 0007165 // signal transduction // traceable author statement /// 0007267 // cell-cell signaling // traceable author statement /// 0007568 // aging // inferred from electronic annotation /// 0009615 // response to virus // traceable author statement /// 0031622 // positive regulation of fever // inferred from electronic annotation /// 0032496 // response to lipopolysaccharide // inferred from electronic annotation /// 0032868 // response to insulin stimulus // inferred from electronic annotation /// 0034097 // response to cytokine stimulus // inferred from electronic annotation /// 0034612 // response to tumor necrosis factor // inferred from electronic annotation /// 0042493 // response to drug // inferred from electronic annotation /// 0045071 // negative regulation of viral genome replication // inferred from direct assay /// 0045672 // positive regulation of osteoclast differentiation // inferred from electronic annotation /// 0048247 // lymphocyte chemotaxis // inferred from electronic annotation /// 0051384 // response to glucocorticoid stimulus // inferred from electronic annotation	0005576 // extracellular region // not recorded /// 0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // inferred from electronic annotation /// 0005625 // soluble fraction // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation	0004871 // signal transducer activity // traceable author statement /// 0005102 // receptor binding // traceable author statement /// 0005125 // cytokine activity // inferred from electronic annotation /// 0008009 // chemokine activity // non-traceable author statement /// 0008009 // chemokine activity // inferred from electronic annotation /// 0008009 // chemokine activity // traceable author statement /// 0042056 // chemoattractant activity // inferred from direct assay
1431_at	J02843		Homo sapiens	Jun 9, 2011	Exemplar sequence	Affymetrix Proprietary Database	J02843 /FEATURE=cds /DEFINITION=HUMCYPIIE Human cytochrome P450IIE1 (ethanol-inducible) gene, complete cds	J02843	cytochrome P450, family 2, subfamily E, polypeptide 1	CYP2E1	1571	NM_000773	0008202 // steroid metabolic process // inferred from mutant phenotype /// 0010243 // response to organic nitrogen // inferred from electronic annotation /// 0016098 // monoterpenoid metabolic process // inferred from direct assay /// 0017144 // drug metabolic process // inferred from direct assay /// 0017144 // drug metabolic process // inferred from mutant phenotype /// 0045471 // response to ethanol // inferred from electronic annotation /// 0046483 // heterocycle metabolic process // inferred from direct assay /// 0055114 // oxidation reduction // inferred from direct assay /// 0055114 // oxidation reduction // inferred from electronic annotation	0000139 // Golgi membrane // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // not recorded /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0005792 // microsome // inferred from direct assay /// 0005792 // microsome // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0031227 // intrinsic to endoplasmic reticulum membrane // inferred from electronic annotation	0004497 // monooxygenase activity // inferred from direct assay /// 0004497 // monooxygenase activity // inferred from electronic annotation /// 0004497 // monooxygenase activity // traceable author statement /// 0005506 // iron ion binding // inferred from electronic annotation /// 0009055 // electron carrier activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from direct assay /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016709 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen // traceable author statement /// 0016709 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen // inferred from electronic annotation /// 0016712 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen // inferred from electronic annotation /// 0019825 // oxygen binding // not recorded /// 0019825 // oxygen binding // traceable author statement /// 0019899 // enzyme binding // inferred from physical interaction /// 0020037 // heme binding // inferred from direct assay /// 0020037 // heme binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0070330 // aromatase activity // inferred from electronic annotation
